ticker,name,sector
NMBD2085,10 % NMB DEBENTURE 2085,Corporate Debenture
HBLD83,10% Himalayan Bank Debenture 2083,Corporate Debenture
LBLD86,10% Laxmi Bank Debenture 2086,Corporate Debenture
NBLD82,10% Nabil Debenture 2082,Corporate Debenture
SBIBD86,10% Nepal SBI Bank Debenture 2086,Corporate Debenture
NICAD 85/86,10% NIC Asia Debenture 2085/86,Corporate Debenture
PBLD84,10% Prabhu Bank Debenture 2084,Corporate Debenture
SAND2085,10% Sanima Bank Limited Debenture,Corporate Debenture
SRD80,10% Sunrise Debenture 2080,Corporate Debenture
CIZBD86,10.25% Citizens Bank Debenture 2086,Corporate Debenture
GBD80/81,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,Corporate Debenture
KBLD86,10.25% KBL Debenture 2086,Corporate Debenture
MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,Corporate Debenture
NBBD2085,10.25% NBBL Debenture 2085,Corporate Debenture
NICD83/84,10.25% NIC Asia Debenture 2083/84,Corporate Debenture
PBLD86,10.25% Prabhu Bank  Debenture 2086,Corporate Debenture
SBLD83,10.25% SBL Debenture 2083,Corporate Debenture
SRBLD83,10.25% Sunrise Bank Debenture 2083,Corporate Debenture
ADBLD83,10.35% Agricultural Bank Debenture 2083,Corporate Debenture
NIBD2082,10.5 % NEPAL INVESTMENT DEBENTURE 2082,Corporate Debenture
SBLD2082,10.50% SBL Debenture 2082,Corporate Debenture
NICAD8283,11% NIC Asia Debenture 082/83,Corporate Debenture
GWFD83,12 % Goodwill Finance Limited Debenture 2083,Corporate Debenture
ICFCD83,12% ICFC Finance Limited Debenture 2083,Corporate Debenture
ADBLB,4% Agricultural Bond,Corporate Debenture
BOKD2079,8% BOK Debenture 2079,Corporate Debenture
BOKD86,8.5% BOK Debenture 2086,Corporate Debenture
LBLD88,8.5% Laxmi Bank Debenture 2088,Corporate Debenture
MBLD87,8.5% Machhapuchchhre Debenture 2087,Corporate Debenture
NBLD87,8.5% Nepal Bank Debenture 2087,Corporate Debenture
NIBD84,8.5% Nepal Investment Bank Debenture 2084,Corporate Debenture
PBLD87,8.5% Prabhu Bank Debenture 2087,Corporate Debenture
RBBD83,8.5% RBBL Debenture 2083,Corporate Debenture
SBD87,8.5% Sanima Debenture 2087,Corporate Debenture
SBLD84,8.5% SBL Debenture 2084,Corporate Debenture
PBD85,8.75 % Prime Debenture 2085,Corporate Debenture
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,Corporate Debenture
NICAD8182,9% NIC Asia Debenture 2081/82,Corporate Debenture
MFLD85,9.5% Manjushree Finance Limited Debenture 2085,Corporate Debenture
NCCD86,9.5% NCC Debenture 2086,Corporate Debenture
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance
AKBSL,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,Microfinance
ADBLB86,Agricultural Bond (8 Year),Corporate Debenture
ADBLB87,Agricultural Bond (9 Year),Corporate Debenture
ADBL,Agricultural Development Bank Limited,Commercial Banks
AIL,Ajod Insurance Limited,Non Life Insurance
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Hydro Power
API,Api Power Company Ltd.,Hydro Power
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,Microfinance
AKPL,Arun Kabeli Power Ltd.,Hydro Power
AHPC,Arun Valley Hydropower Development Co. Ltd.,Hydro Power
AVU,Arun Vanaspati Udhyog Limited,Manufacturing And Processing
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microfinance
ALICL,Asian Life Insurance Co. Limited,Life Insurance
BHL,Balephi Hydropower Limited,Hydro Power
BOKL,Bank of Kathmandu Ltd.,Commercial Banks
BARUN,Barun Hydropower Co. Ltd.,Hydro Power
BFC,Best Finance Company Ltd.,Finance
BHBL,Bhargav Bikash Bank Ltd.,Development Banks
BSL,Birat Shoe Limited,Manufacturing And Processing
BBC,Bishal Bazar Company Limited,Tradings
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing
BNT,Bottlers Nepal (Terai) Limited,Manufacturing And Processing
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power
BPCL,Butwal Power Company Limited,Hydro Power
BSM,Butwal Spinning Mills Limited,Manufacturing And Processing
CMB,Capital Merchant Bank & Finance Co. Ltd.,Finance
CHDC,CEDB Hydropower Development Company Limited,Investment
CFCL,Central Finance Co. Ltd.,Finance
CCBL,Century Commercial Bank Ltd.,Commercial Banks
CCBD88,Century Debenture 2088,Corporate Debenture
CGH,Chandragiri Hills Limited,Hotels
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance
CHL,Chhyangdi Hydropower Ltd.,Hydro Power
CHCL,Chilime Hydropower Company Limited,Hydro Power
CIT,Citizen Investment Trust,Investment
CZBIL,Citizens Bank International Limited,Commercial Banks
CMF1,Citizens Mutual Fund -1,Mutual Fund
CMF2,CITIZENS MUTUAL FUND 2,Mutual Fund
CEFL,City Express Finance Co. Limited,Finance
CBL,Civil Bank Ltd,Commercial Banks
CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,Microfinance
CORBL,Corporate Development Bank Limited,Development Banks
CFL,Crystal Finance Ltd.,Finance
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power
ENL,Emerging Nepal Limited,Investment
EBL,Everest Bank Limited,Commercial Banks
EBLCP,Everest Bank Limited Con. Pref.,Preferred Stock
EIC,Everest Insurance Co. Ltd.,Non Life Insurance
EDBL,Excel Development Bank Ltd.,Development Banks
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance
FHL,Fleur Himalayan Limited,Manufacturing And Processing
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance
GDBL,Gandaki Bikas Bank Limited,Development Banks
GBBL,Garima Bikas Bank Limited,Development Banks
GBBD85,"Garima Debenture, 2085",Corporate Debenture
GIC,General Insurance Company Nepal Ltd,Non Life Insurance
GHL,Ghalemdi Hydro Limited,Hydro Power
GGBSL,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,Microfinance
GBIME,Global IME Bank Limited,Commercial Banks
GBILD86/87,Global IME Bank Limited Debenture 2086/87,Corporate Debenture
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance
GIMES1,Global IME Samunnat Scheme-1,Mutual Fund
GFCL,Goodwill Finance Limited,Finance
GRU,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance
GRDBL,Green Development Bank Ltd.,Development Banks
GVL,Green Ventures Limited,Hydro Power
GLH,GreenLife Hydropower Limited,Hydro Power
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance
GLICL,Gurans Life Insurance Company Ltd.,Life Insurance
GUFL,Gurkhas Finance Ltd.,Finance
HAMRO,Hamro Bikas Bank Ltd.,Development Banks
HBT,Harisiddhi Brick And Tiles Limited,Manufacturing And Processing
HATH,Hathway Finance Company Limited,Finance
HDHPC,Himal Dolakha Hydropower Company Limited,Hydro Power
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power
HBL,Himalayan Bank Limited,Commercial Banks
HDL,Himalayan Distillery Limited,Manufacturing And Processing
HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance
HGI,Himalayan General Insurance Co. Ltd,Non Life Insurance
HPPL,Himalayan Power Partner Ltd.,Hydro Power
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment
ICFC,ICFC Finance Limited,Finance
IGI,IME General Insurance Ltd.,Non Life Insurance
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance
JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance
JFL,Janaki Finance Company Limited,Finance
JBNL,Janata Bank Nepal Ltd.,Commercial Banks
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance
JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,Microfinance
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power
JBBL,Jyoti Bikas Bank Limited,Development Banks
JBBD87,Jyoti Bikash Bank Bond 2087,Corporate Debenture
JLI,Jyoti Life Insurance Company Limited,Life Insurance
JSM,Jyoti Sinning Mills Limited,Manufacturing And Processing
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance
KPCL,Kalika power Company Ltd,Hydro Power
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks
KNBL,Kankai Bikas Bank Ltd.,Development Banks
KRBL,Karnali Development Bank Limited,Development Banks
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power
